horse_name,horse_url,country_of_origin,age,color,sex,import_type,season_stakes,total_stakes,no_123_starts,no_starts_in_10,stable_loc,trainer,owner,current_rating,sos_rating,sire,dam,dam_sire,retired
AUTHENTIC CHAMP(C039),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C039,AUS,6,Chestnut,Gelding,PPG,$0 ,"$2,752,500 ",3-2-1-11,0,Conghua(24/08/2021),K H Ting,Franklin To Tat Fai,74,74,Star Witness,Considerable,Casino Prince,FALSE
SUPER ALLIANCES(C472),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C472,NZ,-1,Bay,Gelding,PPG,,"$3,162,480 ",3-4-2-25,-1,,,Go Global Syndicate,56,-1,Zacinto,Footsie,Gallant Guru,TRUE
DEMONS ROCK(B263),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B263,IRE,-1,Bay,Gelding,PP,,"$2,353,890 ",3-3-2-43,-1,,,Lai Yiu Keung & Lai Man Kon,37,-1,Requinto,Afnoon,Street Cry,TRUE
SPLIT OF A SECOND(B027),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B027,AUS,8,Chestnut,Gelding,PPG,$0 ,"$3,141,400 ",3-3-4-40,2,Hong Kong(17/09/2021),W Y So,Merry Gang Syndicate,35,44,Helmet,Umoya,Nashwan,FALSE
WINNING FEELING(C324),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C324,AUS,-1,Bay,Gelding,PP,,"$1,497,785 ",2-0-1-20,-1,,,Dr Anthony W K Chow & Michael Tong Hing Yuen,60,-1,O'Reilly,Rabsha,Dehere,TRUE
ALL BEST FRIENDS(A217),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A217,AUS,8,Bay,Gelding,PP,"$471,900 ","$3,908,355 ",5-2-3-60,2,Hong Kong(18/12/2016),K L Man,Chan Kwok Keung,39,37,Street Cry,Ambitious Lady,Anabaa,FALSE
STAR PRESENT(D279),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D279,AUS,-1,Brown,Filly,PPG,,$0 ,0-0-0-4,-1,,,"Constance Cheng Chih Hua, Lelia Ho Tze Fun & Ursula Tsui Yee Har",45,-1,Alfred Nobel,Special Kiseki,Special Bond,TRUE
RUN THE TABLE(D229),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D229,AUS,5,Bay,Gelding,PPG,"$652,600 ","$1,150,100 ",2-1-0-17,2,Conghua(30/11/2021),K W Lui,The Whisperer Syndicate,45,42,The Brothers War,Miss Cacciatore,Snitzel,FALSE
REGENCY MASTER(D225),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D225,NZ,5,Brown,Gelding,PPG,$0 ,"$2,228,240 ",2-3-3-18,0,Conghua(24/08/2021),C S Shum,Wong Shun Yuen,58,58,Savabeel,Lady Chaparral,High Chaparral,FALSE
PLAY WISE(A411),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A411,NZ,-1,Brown,Gelding,PP,,"$3,232,195 ",2-6-5-46,-1,,,Friends of Sea Biscuit Syndicate,47,-1,Alamosa,Grey Swan,Daylami,TRUE
ZHAN JIANG ROCKS(B406),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B406,IRE,6,Brown,Gelding,PP,"$62,400 ","$2,635,335 ",1-4-5-36,0,Hong Kong(26/11/2021),W Y So,Zhan Jiang Syndicate,47,49,Big Bad Bob,Rupa,Acclamation,FALSE
MELBOURNE HALL(D118),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D118,GB,5,Bay,Gelding,PPG,"$494,000 ","$1,688,225 ",1-3-2-26,3,Hong Kong(11/03/2021),D J Hall,Mr & Mrs Chew Fook Aun and Alexander Chew Wei Khen,44,45,Harbour Watch,An Ghalanta,Holy Roman Emperor,FALSE
STARLIT KNIGHT(A137),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A137,AUS,-1,Bay,Gelding,PP,,"$3,536,365 ",3-7-3-55,-1,,,Wong Yim Kwong,43,-1,Fath,Jeunes Knight,Jeune,TRUE
PERFECT TO PLAY(B095),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B095,IRE,-1,Chestnut,Gelding,PP,,"$3,197,285 ",4-2-2-54,-1,,,"Mr & Mrs Ringo Ng Yiu Kwok, Jasmine Ng Kwan Yin and Harry Ng Kwan Hang",37,-1,Born To Sea,Centreofattention,Danehill,TRUE
V CHEVALIERS(C358),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C358,NZ,7,Bay,Gelding,PPG,"$182,000 ","$2,632,458 ",3-2-4-24,1,Hong Kong(25/01/2019),K L Man,Musketeers Fraternity Syndicate,58,57,Ocean Park,Screen Siren,Montjeu,FALSE
DIONYSUS COLLIN(B436),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B436,AUS,6,,,PPG,"$119,600 ","$2,845,340 ",2-6-3-36,1,Conghua(23/11/2021),K H Ting,Harold Syndicate,41,44,Dream Ahead,Charlety Star,Arena,FALSE
GO BALLISTIC(C493),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C493,SAF,6,Bay,Gelding,PP,"$1,164,800 ","$1,830,455 ",2-2-1-30,2,Hong Kong(18/05/2019),D E Ferraris,David Hui Cheung Wing,40,29,Duke Of Marmalade,Buffalo Dance,Sadler's Wells,FALSE
AMAZING LUCK(B401),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B401,AUS,-1,Brown,Gelding,PP,,"$1,235,845 ",1-0-4-32,-1,,,Yum Sui Sang,25,-1,Sepoy,Mabsam,Stratum,TRUE
SMART COUSIN(D249),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D249,NZ,6,Bay,Gelding,PP,$0 ,"$557,500 ",1-0-0-18,0,Hong Kong(03/12/2021),C H Yip,Cousin Family Syndicate,37,37,Highly Recommended,Howbaddouneedit,Howbaddouwantit,FALSE
STOCK LEGEND(D039),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D039,AUS,5,Bay,Gelding,PPG,"$54,950 ","$3,207,583 ",4-1-2-22,2,Hong Kong(29/09/2021),K W Lui,Ringo Chan Kwok Yuen & Kenneth Chan Ho Wai,72,77,Sidestep,Adjourn,Waajib,FALSE
HIN YUEN BIS(D181),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D181,AUS,5,Chestnut,Gelding,PPG,$0 ,"$220,000 ",0-1-0-6,0,Hong Kong(29/10/2021),K H Ting,Mr & Mrs Tang Kwok Yung,47,47,Snitzel,Spirit Of Joy,Big Brown,FALSE
SIMPLY FLUKE(C352),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C352,NZ,7,Bay,Gelding,PPG,"$149,150 ","$5,114,255 ",5-4-4-30,1,Conghua(23/11/2021),D J Whyte,Horace Cheng Lung Don,75,76,Keeper,Heartache,Casual Lies,FALSE
KINDA COOL(D297),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D297,NZ,5,Chestnut,Gelding,PPG,"$138,950 ","$3,307,105 ",3-3-1-16,1,Conghua(02/12/2021),F C Lor,Righteousness Syndicate,74,77,Per Incanto,Virginia Key,Mark Of Esteem,FALSE
GOOD SHOT(C364),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C364,NZ,7,Bay,Gelding,PPG,"$62,400 ","$1,148,590 ",1-2-0-17,1,Hong Kong(18/06/2021),A S Cruz,Peng Xiong Fa,44,48,Swiss Ace,Nana Jean,Rock Of Gibraltar,FALSE
PRECIOUS SWEETIE(B254),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B254,AUS,-1,Bay,Gelding,PPG,,"$1,997,425 ",2-2-2-28,-1,,,Mr & Mrs Raymund Chao Pak Ki,41,-1,Fastnet Rock,Everswindell,Align,TRUE
